40796,1,3.0
84211,2,2.0
22745,3,3.0
70435,5,2.0
63216,6,5.0
93153,7,3.0
97773,8,4.0
74297,9,2.0
62334,10,3.0
40653,11,4.0
27963,12,3.0
67381,13,2.0
29245,14,1.0
38237,15,4.0
24556,16,3.0
80260,17,4.0
57272,18,3.0
43172,19,3.0
54593,21,3.0
67802,22,2.0
63006,23,2.0
49835,24,3.0
56971,25,2.0
70300,28,2.0
35847,29,1.0
19212,30,5.0
26560,31,4.0
44032,32,3.0
79681,33,2.0
87327,34,2.0
70332,35,2.0
43800,36,3.0
44116,37,3.0
83209,38,2.0
50828,41,2.0
43671,42,3.0
24257,43,2.0
87057,45,3.0
16558,46,2.0
11129,47,3.0
37405,49,2.0
49709,51,2.0
65955,52,3.0
44159,53,3.0
22238,54,2.0
55179,55,2.0
61334,56,2.0
50413,57,3.0
51050,58,3.0
49095,59,2.0
32023,60,3.0
32522,61,1.0
68469,62,3.0
27195,63,2.0
11260,64,1.0
53874,65,2.0
