36854,1,3.0
77461,2,2.0
80411,3,3.0
48774,5,2.0
16328,6,5.0
60942,7,3.0
92246,8,4.0
22147,9,2.0
76431,10,3.0
80038,11,4.0
81832,12,3.0
75590,13,2.0
72611,14,1.0
63105,15,4.0
54065,16,3.0
60122,17,4.0
98666,18,3.0
62169,19,3.0
50251,21,3.0
43867,22,2.0
42685,23,2.0
63830,24,3.0
87338,25,2.0
92267,28,2.0
56992,29,1.0
27708,30,5.0
30045,31,4.0
40473,32,3.0
83870,33,2.0
82601,34,2.0
56477,35,2.0
76039,36,3.0
11253,37,3.0
86817,38,2.0
46018,41,2.0
73301,42,3.0
79018,43,2.0
41866,45,3.0
65492,46,2.0
25613,47,3.0
27014,49,2.0
38082,51,2.0
25915,52,3.0
38019,53,3.0
30592,54,2.0
46632,55,2.0
97498,56,2.0
30856,57,3.0
57971,58,3.0
14847,59,2.0
25005,60,3.0
84306,61,1.0
36546,62,3.0
90854,63,2.0
19034,64,1.0
64947,65,2.0
